county,office_bp,candidate,party
Casey,Casey County Clerk,Lori Beth Taylor,REP
Casey,Casey County Constable District 1,Gary L. Morrison,REP
Casey,Casey County Constable District 1,Roger Garrett,REP
Casey,Casey County Jailer,John Roy,REP
Casey,Casey County Jailer,Josh Swango,REP
Casey,Casey County Jailer,Mike Woodrum,REP
Casey,Casey County Judge/Executive,Angie Rodgers,REP
Casey,Casey County Judge/Executive,Don Cravens,REP
Casey,Casey County Judge/Executive,Felicia Whitis,REP
Casey,Casey County Judge/Executive,John William Sparr,REP
Casey,Casey County Judge/Executive,Kevin Stephens,REP
Casey,Casey County Judge/Executive,Richard Davis,REP
Casey,Casey County Magistrate District 1,Chad Meece,REP
Casey,Casey County Magistrate District 1,Jeff Walters,REP
Casey,Casey County Magistrate District 1,Joseph Conlin,REP
Casey,Casey County Magistrate District 1,Lorne Luttrell,REP
Casey,Casey County Magistrate District 1,Rickie Patten,REP
Casey,Casey County Magistrate District 2,Anita Beal-Hayes,REP
Casey,Casey County Magistrate District 2,Casey Coppage,REP
Casey,Casey County Magistrate District 2,James E. King,REP
Casey,Casey County Magistrate District 2,Joey Daniel,REP
Casey,Casey County Magistrate District 2,John Ellis,DEM
Casey,Casey County Magistrate District 2,Kenneth Rodgers,REP
Casey,Casey County Magistrate District 2,Ronnie Summers,REP
Casey,Casey County Magistrate District 2,Shirley Richards,REP
Casey,Casey County Magistrate District 2,Tony McFarland,DEM
Casey,Casey County Magistrate District 3,Brent Ware,REP
Casey,Casey County Magistrate District 3,Troy P. Wheeler,REP
Casey,Casey County Magistrate District 4,Carroll Ray Haste,REP
Casey,Casey County Magistrate District 4,Doug Johnson,REP
Casey,Casey County Magistrate District 4,Jamie Dale Hatter,REP
Casey,Casey County Magistrate District 4,Steven R. Wilson,REP
Casey,Casey County Magistrate District 4,Troy Sanders,REP
Casey,Casey County Magistrate District 4,William Cochran,REP
Casey,Casey County Sheriff,Chad Combs,REP
Casey,Casey County Sheriff,Geoffrey Brown,REP
Casey,Casey County Sheriff,Jayson Grider,REP
Casey,Casey County Sheriff,Kenny Patten,REP
Casey,Casey County Sheriff,Randy Dial,REP
Christian,Christian County Constable District 3,Glenn Rickard,REP
Christian,Christian County Constable District 3,Joshua Paul Gydesen,REP
Christian,Christian County Constable District 7,Richard F. Leavell III,REP
Christian,Christian County Constable District 7,Sherry Byerline,REP
Christian,Christian County Constable District 8,Brian Diamond,REP
Christian,Christian County Constable District 8,Jeff W. Newton,REP
Christian,Christian County Magistrate District 3,George Barnett,REP
Christian,Christian County Magistrate District 3,Tana Loden,REP
Christian,Christian County Magistrate District 5,Austin Crawford,REP
Christian,Christian County Magistrate District 5,Jonathan Zordel,REP
Christian,Christian County Magistrate District 5,Virginia Hurt-Erxleben,REP
Christian,Christian County Magistrate District 7,John Heltsley,REP
Christian,Christian County Magistrate District 7,Todd R. Morris,REP
Christian,Christian County Magistrate District 8,John M. Bruce,REP
Christian,Christian County Magistrate District 8,Lucas Stagner,REP
Christian,Christian County Property Valuation Administrator,Amber Ezell,REP
Christian,Christian County Property Valuation Administrator,Tabitha Pryor Strader,REP
Christian,Christian County Sheriff,Erik Pacheco,REP
Christian,Christian County Sheriff,Tyler DeArmond,REP
Christian,Hopkinsville City Council Ward 1,Chance Andrew Tatum,REP
Christian,Hopkinsville City Council Ward 1,Vance D. Smith,REP
Christian,Hopkinsville City Council Ward 10,Michael Velez,REP
Christian,Hopkinsville City Council Ward 10,Steve Keel,REP
Christian,Hopkinsville City Council Ward 3,Brandi Stallons,REP
Christian,Hopkinsville City Council Ward 3,Donald Marsh,REP
Christian,Hopkinsville City Council Ward 9,Ardell Glenn Owens,DEM
Christian,Hopkinsville City Council Ward 9,Brittanie M. Bogard,REP
Christian,Hopkinsville City Council Ward 9,Duane Shepard,DEM
Christian,Hopkinsville City Council Ward 9,Jamie Lynn Lienberger,REP
Christian,Hopkinsville City Council Ward 9,Monike Love,DEM
Christian,Mayor of Hopkinsville,James R. Knight Jr.,REP
Christian,Mayor of Hopkinsville,Russ Guffey,REP
Christian,Mayor of Hopkinsville,Sophia Natasha Francis,REP
Clark,Clark County Judge/Executive,Eric R. Vetter,REP
Clark,Clark County Judge/Executive,Justin Charles,REP
Clark,Clark County Judge/Executive,Shannon J. Cox,REP
Clark,Clark County Judge/Executive,Stephen Craycraft,REP
Clark,Clark County Magistrate District 2,Bryan Howard,REP
Clark,Clark County Magistrate District 2,Ernest W. Pasley,REP
Clark,Clark County Magistrate District 2,Kelley McDonald Nisbet,REP
Clark,Clark County Magistrate District 3,Benjamin Moberly,REP
Clark,Clark County Magistrate District 3,Christy Fulks Bush,REP
Clark,Clark County Magistrate District 5,Christopher M. Davis,REP
Clark,Clark County Magistrate District 5,Michael H. Flynn,REP
Clark,Clark County Property Valuation Administrator,Allan W. Curtis,REP
Clark,Clark County Property Valuation Administrator,Jada Brady,REP
Clay,Clay County Constable 1 District,H.K. Tyrone Salyers,REP
Clay,Clay County Constable 1 District,Michael Darrell Wagers,REP
Clay,Clay County Constable 1 District,Roy Hubbard,REP
Clay,Clay County Constable 3 District,Harvey Dean Collins,REP
Clay,Clay County Constable 3 District,Jimmy Smith,REP
Clay,Clay County Constable 4 District,Elvis Smith,REP
Clay,Clay County Constable 4 District,Eugene Jackson,REP
Clay,Clay County Constable 4 District,Harold Williams,REP
Clay,Clay County Constable 6 District,J. Rodney Bowling,REP
Clay,Clay County Constable 6 District,Paul Collins,REP
Clay,Clay County Constable 6 District,Richard Brian Hubbard,REP
Clay,Clay County Coroner,Jason Robert Abner,REP
Clay,Clay County Coroner,Kathy Couch-Hicks,REP
Clay,Clay County Coroner,Michael Caudill,REP
Clay,Clay County Jailer,Darrell D. Mills,REP
Clay,Clay County Jailer,Linda Smallwood,REP
Clay,Clay County Jailer,Mark Jackson,REP
Clay,Clay County Judge/Executive,Scott D. Smith,REP
Clay,Clay County Judge/Executive,Tommy L. Harmon,REP
Clay,Clay County Magistrate District 1,Earl Owens,REP
Clay,Clay County Magistrate District 1,Russell Smith,REP
Clay,Clay County Magistrate District 2,Christopher Reid,REP
Clay,Clay County Magistrate District 2,Sonya Hoskins-Gray,REP
Clay,Clay County Magistrate District 2,William Scalf,REP
Clay,Clay County Magistrate District 3,Benjamin Burkhart,REP
Clay,Clay County Magistrate District 3,Glenn Smith,REP
Clay,Clay County Magistrate District 3,Sonny Gay,REP
Clay,Clay County Magistrate District 4,Cecil Wagers,REP
Clay,Clay County Magistrate District 4,Chris Smith,REP
Clay,Clay County Magistrate District 4,Jamie J. Jackson,REP
Clay,Clay County Magistrate District 4,Marty Davis,REP
Clay,Clay County Magistrate District 4,Michael Smith,REP
Clay,Clay County Magistrate District 5,Glenn Ray Henson,REP
Clay,Clay County Magistrate District 5,J. Davis,REP
Clay,Clay County Magistrate District 5,Jerry Combs,REP
Clay,Clay County Magistrate District 6,Delbert Smith,REP
Clay,Clay County Magistrate District 6,William Warren,REP
Clinton,Clinton County Constable 6 District,Brad Bell,REP
Clinton,Clinton County Constable 6 District,Brent Allred,REP
Clinton,Clinton County Jailer,Bruce Stearns,REP
Clinton,Clinton County Jailer,David Harris,REP
Clinton,Clinton County Jailer,Kenny Myers,REP
Clinton,Clinton County Judge/Executive,Keith Dalton,REP
Clinton,Clinton County Judge/Executive,Kelli Abston,REP
Clinton,Clinton County Judge/Executive,Michael Paul Rayborn,REP
Clinton,Clinton County Judge/Executive,Mickey McFall,REP
Clinton,Clinton County Judge/Executive,Richard C. Armstrong,REP
Clinton,Clinton County Judge/Executive,Terry W. Buster,REP
Clinton,Clinton County Magistrate District 2,Cole G. Nelson,REP
Clinton,Clinton County Magistrate District 2,Jason Pitman,REP
Clinton,Clinton County Magistrate District 2,Justin Shelton,REP
Clinton,Clinton County Magistrate District 3,Anthony Wright,REP
Clinton,Clinton County Magistrate District 3,Bobby Cross,REP
Clinton,Clinton County Magistrate District 3,Jackie S. Stearns,REP
Clinton,Clinton County Magistrate District 3,Lane Marcum,REP
Clinton,Clinton County Magistrate District 3,Neli Conner,REP
Clinton,Clinton County Magistrate District 3,Parker Means,REP
Clinton,Clinton County Magistrate District 3,Rick Stearns,REP
Clinton,Clinton County Magistrate District 4,Clint Sawyers Ray,REP
Clinton,Clinton County Magistrate District 4,Jay Craig,REP
Clinton,Clinton County Magistrate District 5,Jeffrey Alan Groce,REP
Clinton,Clinton County Magistrate District 5,Johnny Shelley,REP
Clinton,Clinton County Magistrate District 5,Josh Patrick,REP
Clinton,Clinton County Magistrate District 5,Tracy Thurman,REP
Clinton,Clinton County Magistrate District 6,Bobby Jones,REP
Clinton,Clinton County Magistrate District 6,Chris Goodman,REP
Clinton,Clinton County Magistrate District 6,Chris Ipock,REP
Clinton,Clinton County Magistrate District 6,Gabriel Quade Martin,REP
Clinton,Clinton County Magistrate District 6,Gilbert Daniel,REP
Clinton,Clinton County Magistrate District 6,Scott York,REP
Crittenden,Crittenden County Attorney,Bart Frazer,REP
Crittenden,Crittenden County Attorney,Chad Eric Nelson,REP
Crittenden,Crittenden County Jailer,Athena Hayes,REP
Crittenden,Crittenden County Jailer,Robert P. Kirk,REP
Crittenden,Crittenden County Judge/Executive,Nathan Ratley,REP
Crittenden,Crittenden County Judge/Executive,Perry A. Newcom,REP
Crittenden,Crittenden County Judge/Executive,Todd Campbell,REP
Crittenden,Crittenden County Magistrate District 1,Danny Allen Fowler,REP
Crittenden,Crittenden County Magistrate District 1,Rob Horack,REP
Crittenden,Crittenden County Magistrate District 3,Pamela A. Todd,REP
Crittenden,Crittenden County Magistrate District 3,Robert Kirby,REP
Crittenden,Crittenden County Magistrate District 6,Bob Rowley,REP
Crittenden,Crittenden County Magistrate District 6,Craig B. Gilland,REP
Crittenden,Crittenden County Sheriff,Evan Franklin Head,REP
Crittenden,Crittenden County Sheriff,Ray Agent,REP
Cumberland,Cumberland County Constable 1 District,Caleb Finley,REP
Cumberland,Cumberland County Constable 1 District,Tony Paul Wright,REP
Cumberland,Cumberland County Constable District 2,Adam Bow,REP
Cumberland,Cumberland County Constable District 2,Kevin Thacker,REP
Cumberland,Cumberland County Jailer,Chad Melton,REP
Cumberland,Cumberland County Jailer,Cory Branham,REP
Cumberland,Cumberland County Jailer,Dylan Wright,REP
Cumberland,Cumberland County Jailer,Kenneth Lansing,REP
Cumberland,Cumberland County Judge/Executive,Gina Shaye Lee-Watson,REP
Cumberland,Cumberland County Judge/Executive,Luke King,REP
Cumberland,Cumberland County Magistrate District 1,Jeremiah Cooksey,REP
Cumberland,Cumberland County Magistrate District 1,Rondall Wray,REP
Cumberland,Cumberland County Magistrate District 2,Greg Moons,REP
Cumberland,Cumberland County Magistrate District 2,Lane Cope,REP
Cumberland,Cumberland County Magistrate District 2,Scot Daniels,REP
Cumberland,Cumberland County Magistrate District 3,Alex Killman,REP
Cumberland,Cumberland County Magistrate District 3,J. V. Groce,REP
Cumberland,Cumberland County Magistrate District 3,Larry S. Anderson,REP
Cumberland,Cumberland County Magistrate District 4,Jacob Wray,REP
Cumberland,Cumberland County Magistrate District 4,Jeffery A. Cyphers,REP
Cumberland,Cumberland County Property Valuation Administrator,Brian Leveridge,REP
Cumberland,Cumberland County Property Valuation Administrator,Jonathan Collins,REP
Cumberland,Cumberland County Sheriff,Keaton L. Williams,REP
Cumberland,Cumberland County Sheriff,Kenny Brown,REP
Daviess,Daviess County Clerk,Leslie A. McCarty,REP
Daviess,Daviess County Clerk,Matt Galloway,REP
Daviess,Daviess County Commissioner Board Central District,Larry Conder,REP
Daviess,Daviess County Commissioner Board Central District,Robert Morris,REP
Daviess,Daviess County Commissioner Board East District,Joe Hagan,REP
Daviess,Daviess County Commissioner Board East District,Shane Cox,REP
Daviess,Daviess County Commissioner Board East District,Steven Shake,REP
Daviess,Daviess County Commissioner Board West District,Christopher T. Castlen,REP
Daviess,Daviess County Commissioner Board West District,Dustin Warren,REP
Daviess,Daviess County Constable West District,Kris D. Crawford,REP
Daviess,Daviess County Constable West District,Scotty Smith,REP
Daviess,Daviess County Judge/Executive,Charlie Castlen,REP
Daviess,Daviess County Judge/Executive,Janie Marksberry,REP
Daviess,Daviess County Justice of the Peace Central District,Chris Saalwaechter,DEM
Daviess,Daviess County Justice of the Peace Central District,Craig Pounds,DEM
Edmonson,Edmonson County Magistrate District 4,Adam Coates,REP
Edmonson,Edmonson County Magistrate District 4,James Mickey Johnson,REP
Edmonson,Edmonson County Magistrate District 5,Hunter Ashley,REP
Edmonson,Edmonson County Magistrate District 5,Pat Haycraft,REP
Estill,Estill County Constable District 1,John Beckler,REP
Estill,Estill County Constable District 1,Ronnie Dale Conrad,REP
Estill,Estill County Constable District 1,William Neal,REP
Estill,Estill County Constable District 2,Jackie R. Rogers,REP
Estill,Estill County Constable District 2,Stacey L. McFarland,REP
Estill,Estill County Judge/Executive,Donnie Watson,REP
Estill,Estill County Judge/Executive,Kelby Browning,REP
Estill,Estill County Judge/Executive,Kevin T. Williams,REP
Estill,Estill County Magistrate District 2,Brad D. Goolman,REP
Estill,Estill County Magistrate District 2,Paul Tipton,REP
Estill,Estill County Magistrate District 2,Robert H. Arnold,REP
Estill,Estill County Magistrate District 3,Gerry Flannery,REP
Estill,Estill County Magistrate District 3,Jason Strothman,REP
Estill,Estill County Sheriff,Adam W. Puckett,REP
Estill,Estill County Sheriff,Brian R. Brooks,REP
Estill,Estill County Sheriff,Russell Morris,REP
Estill,Irvine City Council At-large,Aaron M. Raider,REP
Estill,Irvine City Council At-large,Charles Steven Fauste,REP
Estill,Irvine City Council At-large,Donna Whorley,REP
Estill,Irvine City Council At-large,James Michael Woolery,REP
Estill,Irvine City Council At-large,Margaret True Lisle,REP
Estill,Irvine City Council At-large,Sharma Daniels,REP
Estill,Irvine City Council At-large,Tim Burkhart,REP
Estill,Mayor of Irvine,Carl Dennis Williams Jr.,REP
Estill,Mayor of Irvine,James E. Gross,REP
Estill,Mayor of Irvine,Karen Sparks Steinhauser,REP
Fayette,NA,Angela Evans,DEM
Fayette,NA,David O'Neill,DEM
Fayette,NA,Gary Ginn,DEM
Fayette,NA,Kathy Witt,DEM
Fayette,NA,Mary Diane McCord Hanna,DEM
Fayette,NA,Mike Pickard,DEM
Fayette,NA,Susan Lamb,DEM
Fleming,Fleming County Coroner,David Edward Abner,REP
Fleming,Fleming County Coroner,Winston R. Grannis,REP
Fleming,Fleming County Jailer,Donnie Earlywine,REP
Fleming,Fleming County Jailer,Jeff Harmon,REP
Fleming,Fleming County Jailer,Rodney Earlywine,REP
Fleming,Fleming County Magistrate District 1,Brandon Williams,DEM
Fleming,Fleming County Magistrate District 1,Dennis Scott Masters,REP
Fleming,Fleming County Magistrate District 1,Kerri L. Marshall,REP
Fleming,Fleming County Magistrate District 1,Mollie Dailey,DEM
Fleming,Fleming County Magistrate District 1,William M. Hendrix Jr.,DEM
Fleming,Fleming County Magistrate District 2,Avery E. Hunt Jr.,REP
Fleming,Fleming County Magistrate District 2,Corey Dailey,REP
Fleming,Fleming County Magistrate District 2,Kevin Hickerson,REP
Fleming,Fleming County Magistrate District 2,Taylor B. Hunt,REP
Fleming,Fleming County Magistrate District 5,Donnie Fawns,REP
Fleming,Fleming County Magistrate District 5,Josh Plank,REP
Fleming,Fleming County Magistrate District 5,Vincent Weaver,REP
Fleming,Fleming County Magistrate District 6,Allen Ray Argo,DEM
Fleming,Fleming County Magistrate District 6,Chris Worthington,DEM
Fleming,Fleming County Magistrate District 6,Nathan Stull,REP
Fleming,Fleming County Magistrate District 6,Robbie Earlywine,REP
Fleming,Fleming County Property Valuation Administrator,David J. DeAtley,REP
Fleming,Fleming County Property Valuation Administrator,Stephanie Hardin,REP
Fleming,Fleming County Sheriff,Bradley Vice,REP
Fleming,Fleming County Sheriff,Tim Smith,REP
Floyd,Floyd County Constable 3 District,Ernie Ray Moore,DEM
Floyd,Floyd County Constable 3 District,Gary Dean Tackett,DEM
Floyd,Floyd County Jailer,Steve Little,DEM
Floyd,Floyd County Jailer,Steve R. Montgomery,DEM
Floyd,Floyd County Judge/Executive,Debbie Hall,REP
Floyd,Floyd County Judge/Executive,Doug Hopkins,REP
Floyd,Floyd County Judge/Executive,Mason Glenn Tackett,REP
Floyd,Floyd County Magistrate District 2,Cody Conley,DEM
Floyd,Floyd County Magistrate District 2,Dylan Kyle Patton,REP
Floyd,Floyd County Magistrate District 2,George Isaac,DEM
Floyd,Floyd County Magistrate District 2,George Ousley,DEM
Floyd,Floyd County Magistrate District 2,Randy K. Davis,REP
Floyd,Floyd County Magistrate District 3,Glennis Ray Caudill,DEM
Floyd,Floyd County Magistrate District 3,Jimmy Dwayne Tackett,DEM
Floyd,Floyd County Magistrate District 3,Mike Tackett,DEM
Franklin,Franklin County Coroner,Elliott Scott Moore,DEM
Franklin,Franklin County Coroner,Will Harrod,DEM
Franklin,Franklin County Magistrate District 6,Dalaina Marie Bean,DEM
Franklin,Franklin County Magistrate District 6,Eric E. Whisman,DEM
Franklin,Franklin County Magistrate District 6,Lambert Moore,DEM
Franklin,Franklin County Magistrate District 6,Marshall T. Flynn,DEM
Franklin,Franklin County Sheriff,Brandon Muravchick,DEM
Franklin,Franklin County Sheriff,Dwayne Forrest Depp,DEM
Franklin,Franklin County Sheriff,Jonathan Presley,DEM
Franklin,Franklin County Sheriff,Logan Curry,REP
Franklin,Franklin County Sheriff,Stephen Sutton,REP
Franklin,NA,Max Comley,DEM
Fulton,Fulton County Jailer,Elizabeth Easley,DEM
Fulton,Fulton County Jailer,Robin M. Amberg,DEM
Fulton,Fulton County Judge/Executive,Christopher Wade Adams,DEM
Fulton,Fulton County Judge/Executive,James Martin,DEM
Fulton,Fulton County Magistrate District 2,Michael Foad Smith,DEM
Fulton,Fulton County Magistrate District 2,Michael J. Cash,DEM
Fulton,Fulton County Magistrate District 2,Zach Greer,DEM
Fulton,Fulton County Magistrate District 3,Gregory Black,DEM
Fulton,Fulton County Magistrate District 3,Matt Moss,DEM
Fulton,Fulton County Magistrate District 3,Nathan Wilson,DEM
Fulton,Fulton County Magistrate District 4,Brandon Uzzle,REP
Fulton,Fulton County Magistrate District 4,Chris Garrigus,DEM
Fulton,Fulton County Magistrate District 4,J.T. West,REP
Fulton,Fulton County Magistrate District 4,Jordy O'Neal,DEM
Fulton,Fulton County Property Valuation Administrator,Chad Everett,DEM
Fulton,Fulton County Property Valuation Administrator,Jason Gibbs,DEM
Gallatin,Gallatin County Constable District 2,Brad Tanner,REP
Gallatin,Gallatin County Constable District 2,Garret Beach,REP
Gallatin,Gallatin County Judge/Executive,Kentucky Davis,REP
Gallatin,Gallatin County Judge/Executive,Michael J. Haddix,REP
Gallatin,Gallatin County Magistrate District 3,Bradley Noel,REP
Gallatin,Gallatin County Magistrate District 3,Brent Caldwell,REP
Gallatin,Gallatin County Magistrate District 3,Michael D. Hampton,REP
Gallatin,Gallatin County Magistrate District 4,Bob Searcy,REP
Gallatin,Gallatin County Magistrate District 4,Charles Young,REP
Gallatin,Gallatin County Magistrate District 4,Donnie Sullivan,REP
Garrard,Garrard County Magistrate District 1,Chris Davis,REP
Garrard,Garrard County Magistrate District 1,Teresa L. Waters,REP
Garrard,Garrard County Magistrate District 2,Chris Butner,REP
Garrard,Garrard County Magistrate District 2,Colby Reik,REP
Garrard,Garrard County Magistrate District 2,James E. Holloway,REP
Garrard,Garrard County Magistrate District 2,Kevin Arnold,REP
Garrard,Garrard County Magistrate District 3,Bill Warren,REP
Garrard,Garrard County Magistrate District 3,Glendan Barker,REP
Garrard,Garrard County Magistrate District 4,Billy Moore,REP
Garrard,Garrard County Magistrate District 4,Bobby O. Preston,REP
Grant,Grant County Constable District 2,Jeremy Lilly,REP
Grant,Grant County Constable District 2,Michael D. Webster,REP
Grant,Grant County Jailer,Brent Ely,REP
Grant,Grant County Jailer,Steven Franklin Skinner,REP
Grant,Grant County Jailer,Tonya Beagle,REP
Grant,Grant County Judge/Executive,C.E. Dills II,REP
Grant,Grant County Judge/Executive,John Weiss,REP
Grant,Grant County Magistrate District 1,Jacqalynn M. Ammer Riley,REP
Grant,Grant County Magistrate District 1,Jerrie M. Martin,REP
Grant,Grant County Magistrate District 3,Craig Pennington,REP
Grant,Grant County Magistrate District 3,Leo Lewis Saylor,REP
Grant,Grant County Sheriff,Dennis A. Switzer II,REP
Grant,Grant County Sheriff,Kenneth Little,REP
Grant,Grant County Sheriff,Todd Allen Cummins,REP
Graves,Graves County Attorney,John J. Beasley II,REP
Graves,Graves County Attorney,John R. Cunningham,REP
Graves,Graves County Commissioner Board District 1,Buck Shelton,REP
Graves,Graves County Commissioner Board District 1,Clint B. Harris,REP
Graves,Graves County Commissioner Board District 1,Dannie Winfrey,REP
Graves,Graves County Commissioner Board District 1,Joseph Siedel,REP
Graves,Graves County Commissioner Board District 2,Pete Jackson,REP
Graves,Graves County Commissioner Board District 2,Tyler Goodman,REP
Graves,Graves County Commissioner Board District 3,Al Chandler,REP
Graves,Graves County Commissioner Board District 3,Michael Dale Harris,REP
Graves,Graves County Constable District 3,Charles Harp,REP
Graves,Graves County Constable District 3,David Warner,REP
Graves,Graves County Jailer,George Workman,REP
Graves,Graves County Jailer,Kelli Krill Elliott,REP
Graves,Graves County Judge/Executive,Cody Jones,REP
Graves,Graves County Judge/Executive,Dale A. Usher,REP
Graves,Graves County Judge/Executive,Todd Hayden,REP
Grayson,Grayson County Clerk,Stephanie Brooks,REP
Grayson,Grayson County Clerk,Tonya Kessinger,REP
Grayson,Grayson County Constable District 5,Mark H. Stanton,REP
Grayson,Grayson County Constable District 5,Matthew Logsdon,REP
Grayson,Grayson County Magistrate District 3,Brenda Huffman,REP
Grayson,Grayson County Magistrate District 3,Dustin King,REP
Grayson,Grayson County Magistrate District 3,Elissa Hudson,REP
Grayson,Grayson County Magistrate District 4,Damon Hornback,REP
Grayson,Grayson County Magistrate District 4,Jason Dennis,REP
Grayson,Grayson County Sheriff,Billy Meredith,REP
Grayson,Grayson County Sheriff,D. R. Poteet Jr.,REP
Green,Green County Constable 1 District,Albert Lee Ray,REP
Green,Green County Constable 1 District,George Ratcliff Jr.,REP
Green,Green County Judge/Executive,James Daren Bonta,REP
Green,Green County Judge/Executive,John H. Frank,REP
Green,Green County Magistrate District 3,Brian O. Jackson,REP
Green,Green County Magistrate District 3,Garrett Wesley Milby,REP
Green,Green County Magistrate District 3,Heather Moss,REP
Green,Green County Magistrate District 3,Jason Milby,REP
Green,Green County Magistrate District 3,Nicholas C. Redner,REP
Green,Green County Magistrate District 3,Raymond Stillwell,REP
Green,Green County Magistrate District 4,Andrew Hedgespeth,REP
Green,Green County Magistrate District 4,Johnny Simpson,REP
Green,Green County Magistrate District 4,Scott Humphrey,REP
Green,Green County Magistrate District 4,Terry F. Aaron,REP
Green,Green County Magistrate District 5,Charles Judd,REP
Green,Green County Magistrate District 5,Vernon White,REP
Greenup,Greenup County Commissioner Board District 1,Derrick Bradley,REP
Greenup,Greenup County Commissioner Board District 1,Evan White,REP
Greenup,Greenup County Constable District 2,Colby Large,REP
Greenup,Greenup County Constable District 2,Zachary Salisbury,REP
Greenup,Greenup County Constable District 3,Lenard Hall,REP
Greenup,Greenup County Constable District 3,Steven J. Allen,REP
Hancock,Hancock County Jailer,Steve Jackson,REP
Hancock,Hancock County Jailer,Tracie Powers,REP
Hancock,Hancock County Magistrate District 4,Gary Baker,REP
Hancock,Hancock County Magistrate District 4,L.T. Newton,REP
Hancock,Hancock County Magistrate District 4,Mike Blan,REP
Hancock,Hancock County Sheriff,Aaron J. Emmick,DEM
Hancock,Hancock County Sheriff,Billy Bozarth,REP
Hancock,Hancock County Sheriff,Billy Burton,REP
Hancock,Hancock County Sheriff,Joshua Travis Vandgrift,REP
Hancock,Hancock County Sheriff,Robert J. Rice,DEM
Hancock,Hancock County Sheriff,Roger Estes,DEM
Hardin,Hardin County Constable District 4,Brandon K. Curry,REP
Hardin,Hardin County Constable District 4,Gerry Perkins,REP
Hardin,Hardin County Magistrate District 4,Christy Gordon,REP
Hardin,Hardin County Magistrate District 4,Fred Clem Jr.,REP
Hardin,Hardin County Magistrate District 5,Aaron Pennington,REP
Hardin,Hardin County Magistrate District 5,Wayne M. Ray,REP
Hardin,Hardin County Magistrate District 6,Nicholas Lee Simpson,REP
Hardin,Hardin County Magistrate District 6,T. Stacy Reynolds,REP
Hardin,Hardin County Magistrate District 6,William Jason Buckles,REP
Hardin,Hardin County Magistrate District 7,Larry Allen Hicks,REP
Hardin,Hardin County Magistrate District 7,Robin L. Geary,REP
Hardin,Hardin County Magistrate District 7,Zach Humphrey,REP
Hardin,Hardin County Magistrate District 8,Jonathan Breeding,REP
Hardin,Hardin County Magistrate District 8,Kenny Muse,REP
Hardin,Hardin County Property Valuation Administrator,Casey Overstreet,REP
Hardin,Hardin County Property Valuation Administrator,Dennis Davis,REP
Hardin,Hardin County Property Valuation Administrator,Michelle Pirtle Bowen,REP
Hardin,Hardin County Sheriff,Brian C. Sankey,REP
Hardin,Hardin County Sheriff,Willie Oden,REP
Harlan,Harlan County Constable 1 District,Dvaid Hensley,REP
Harlan,Harlan County Constable 1 District,Johnny Dale Joseph II,REP
Harlan,Harlan County Constable 1 District,Juan Rivera,REP
Harlan,Harlan County Constable 1 District,Toni Noe-Hall,REP
Harlan,Harlan County Constable District 3,C. Wayne Creech,REP
Harlan,Harlan County Constable District 3,Isaac D. Pennington,REP
Harlan,Harlan County Constable District 5,Owen E. Petrey III,REP
Harlan,Harlan County Constable District 5,Robert Haywood,REP
Harlan,Harlan County Jailer,B. J. Burkhart,REP
Harlan,Harlan County Jailer,Glen Merle Hensley Jr.,REP
Harlan,Harlan County Judge/Executive,Colby Goss,REP
Harlan,Harlan County Judge/Executive,Mitch Alford,REP
Harlan,Harlan County Judge/Executive,Paul L. Browning III,REP
Harlan,Harlan County Judge/Executive,Robert Crider,REP
Harlan,Harlan County Magistrate District 1,Austin Miller,REP
Harlan,Harlan County Magistrate District 1,Jason Colinger,REP
Harlan,Harlan County Magistrate District 1,Matt Napier,REP
Harlan,Harlan County Magistrate District 1,Paul E. Caldwell,REP
Harlan,Harlan County Magistrate District 1,Ralph Allen Turner,REP
Harlan,Harlan County Magistrate District 1,Reggie Raleigh,REP
Harlan,Harlan County Magistrate District 2,Burl Fee Jr.,REP
Harlan,Harlan County Magistrate District 2,Carl E. Canterbury,REP
Harlan,Harlan County Magistrate District 2,Dereck R. Sage,REP
Harlan,Harlan County Magistrate District 2,John H. Buell,REP
Harlan,Harlan County Magistrate District 2,Mark Stewart,REP
Harlan,Harlan County Magistrate District 2,Melton Middleton,REP
Harlan,Harlan County Magistrate District 2,Milt Saylor,REP
Harlan,Harlan County Magistrate District 2,Willard Wilkinson,REP
Harlan,Harlan County Magistrate District 3,Jeff Wilder,REP
Harlan,Harlan County Magistrate District 3,Jon Fields,REP
Harlan,Harlan County Magistrate District 5,Brian Hale,REP
Harlan,Harlan County Magistrate District 5,Jack L. Simpson Jr.,REP
Harlan,Harlan County Magistrate District 5,James F. Howard,REP
Harlan,Harlan County Magistrate District 5,Wendell Lynn Jones,REP
Harrison,Harrison County Magistrate District 7,Dwayne C. Florence,REP
Harrison,Harrison County Magistrate District 7,Jeremiah Muth,REP
Harrison,Harrison County Magistrate District 7,Michael Nichols,REP
Harrison,Harrison County Sheriff,Christy Furnish Barnes,REP
Harrison,Harrison County Sheriff,Joseph Daniel,REP
Harrison,Harrison County Sheriff,Michael L. Thomas Jr.,REP
Hart,Hart County Judge/Executive,Asa L. T. Waggoner,REP
Hart,Hart County Judge/Executive,Austin Grant,REP
Hart,Hart County Magistrate District 3,Ashley Puckett,REP
Hart,Hart County Magistrate District 3,Cody Rucker,REP
Hart,Hart County Magistrate District 3,Matthew Gentry,REP
